conserved	specific	contigs	genome_size
public_384100	2385	10	149	5198138
public_384314	2398	10	45	5475455
public_384477	2224	9	140	5480674
public_38461	2215	10	400	5092807
public_384610	2377	10	237	5182766
public_384746	2388	10	29	5152459
public_385256	2153	9	59	5270977
public_385314	2384	10	417	5261054
public_385796	2339	10	109	5166910
public_385813	2228	10	690	5182610
public_385861	2167	9	38	5150080
public_386139	2389	10	38	5017208
public_386226	2397	9	25	5057151
public_386427	2389	10	5	5011605
public_38654	2211	10	405	5689893
public_38660	2401	10	121	5222895
public_386604	2374	10	114	5317440
public_387001	2404	10	54	5427907
public_38718	2391	10	53	5519566
public_387192	2390	10	155	4936942
public_387330	2363	10	38	5062208
public_387436	2206	10	116	5131691
public_387483	2359	10	299	4879700
public_387661	2368	10	66	4693090
public_38781	2391	10	90	5729265
public_387846	2213	10	530	5443298
public_387958	2384	10	96	5271678
public_388042	2406	10	116	5230424
public_388141	2389	10	129	4555240
public_388322	2387	10	306	5135834
public_388681	2330	10	189	5327796
public_388834	2384	10	94	5298052
public_388942	2398	10	199	5134038
public_388988	2342	5	661	5324591
public_38900	2393	10	149	4918959
public_389050	2388	10	198	5015876
public_389053	2213	10	65	5230036
public_389088	2391	10	363	5617783
public_389195	2353	8	2	5622737
public_389375	2199	10	111	5273422
public_389784	2406	10	47	4786951
public_389958	2224	9	5	4983288
public_390076	2320	9	77	4765458
public_390108	2394	10	235	5096447
public_390297	2385	8	44	5360691
public_390372	2361	10	159	4965207
public_390623	2350	10	48	5269722
public_390875	2393	10	73	5508988
public_390879	2407	10	126	5314964
public_390891	2392	9	154	5385928
public_391244	2397	6	93	4626745
public_391330	2392	10	79	5362018
public_39134	2202	10	195	5256731
public_391459	2383	10	84	5451210
public_39167	2413	10	256	5226602
public_39191	2205	9	14	5932641
public_392006	2369	10	276	5540893
public_392369	2380	10	48	5107065
public_392507	2359	10	37	5165353
public_392510	2186	9	196	5225500
public_392526	2390	10	195	5416707
public_392649	2387	10	132	4819146
public_392781	2401	10	56	5129241
public_392813	2338	10	140	4942928
public_393004	2393	10	156	4930352
public_393067	2382	10	274	5366571
public_393240	2299	10	30	5009267
public_39328	2194	10	251	5414454
public_393504	2390	10	158	5224070
public_393678	2211	10	175	4866889
public_393727	2385	10	123	5233535
public_394279	2362	10	160	4678866
public_394337	2217	10	360	5035052
public_394409	2205	10	252	4914599
public_394447	2211	10	183	4911937
public_394467	2386	10	170	5264979
public_394950	2191	10	465	5560734
public_395002	2357	10	121	5365092
public_395149	2392	10	632	5369936
public_395291	2386	10	213	5285209
public_39532	2052	9	50	5222104
public_395404	2204	10	127	5127674
public_395442	2348	10	287	5491589
public_395568	2375	10	188	4989743
public_395703	2384	10	121	5272514
public_395928	2375	10	152	5218828
public_395990	2212	10	698	5264304
public_396135	2125	9	118	4949220
public_396515	2364	10	125	5330425
public_396617	2381	10	130	5328967
public_396759	2221	10	145	5196316
public_396888	2380	9	203	5448404
public_397074	2310	9	232	5239028
public_397831	2300	9	90	5124140
public_398051	2303	5	60	4981663
public_398440	2392	9	71	5287202
public_398558	2211	10	135	4652606
public_398593	2400	10	195	5071907
public_398736	2324	10	304	5062805
public_398808	2382	9	39	5218657
public_399010	2406	10	856	5067739
public_399477	2343	10	228	5009618
public_399690	2389	10	95	5137238
public_400138	2390	10	219	5313998
public_400262	2341	10	204	5300128
public_400322	2221	10	38	5058460
public_400478	2221	10	63	5189427
public_400515	2392	10	35	4803089
public_400784	2316	10	462	5377423
public_400791	2377	10	133	5101369
public_401350	2212	10	97	4946441
public_401384	2377	10	185	4853958
public_401576	2392	10	252	5121565
public_401760	2409	10	125	4778266
public_401861	2404	10	994	4739402
public_401976	2380	10	274	5377490
public_402014	2404	9	188	5083624
public_402065	2365	10	40	4959688
public_402268	2131	10	150	5359959
public_402715	2390	10	105	5285350
public_403321	2405	10	45	5073251
public_403363	2299	3	13	5225009
public_403570	2390	10	210	5373741
public_403631	2323	9	177	5278375
public_40378	2224	10	155	5070287
public_403907	2340	9	91	4866777
public_404003	2350	9	118	5059437
public_404121	2408	10	33	5053825
public_404211	2324	7	62	5521207
public_404246	2218	10	127	5106346
public_404279	2336	9	162	5468788
public_404345	2103	10	18	5479839
public_404854	2222	10	272	5656666
public_404893	2207	10	75	5494508
public_404977	2392	10	200	5323372
public_405141	2291	10	384	5291360
public_405322	2393	10	27	4688464
public_405436	2250	9	38	5196934
public_405863	2339	10	6	5635305
public_405892	2207	10	249	5020824
public_40591	2386	10	27	5297998
public_405986	2393	10	391	5292633
public_406226	2377	10	560	5251157
public_406273	2380	9	264	5301316
public_406455	2213	10	52	5438336
public_406502	2364	10	56	5551996
public_406576	2361	10	172	4962287
public_406806	2210	10	176	5018403
public_406841	2205	10	37	5160014
public_406875	2384	10	127	5241282
public_406901	2242	9	534	5400080
public_407693	2375	9	293	5038756
public_407908	2405	10	68	4982384
public_407973	2348	9	146	5278747
public_408032	2321	10	86	5554557
public_408103	2362	10	89	5121027
public_408218	2208	10	51	5311247
public_408303	2234	10	415	5254629
public_408318	2221	9	550	5354144
public_408884	2214	10	217	5061962
public_408961	2068	8	42	5067116
public_40994	2392	10	43	5068691
public_409957	2338	10	176	5394127
public_410067	2399	10	172	4713709
public_410116	2390	10	289	5300242
public_410310	2388	10	34	5031282
public_410765	2388	10	48	5231963
public_410977	2202	10	171	5256700
public_411014	2332	9	712	5244311
public_411050	2396	10	198	5065061
public_411251	2330	9	92	5407372
public_411277	2389	10	148	5088051
public_411430	2396	10	47	5173758
public_411672	2391	10	138	5008898
public_412006	2302	10	60	5531102
public_41213	2210	10	369	5110498
public_412160	2349	10	187	5134854
public_412357	2205	10	51	5400275
public_412390	2382	10	3	5005347
public_41253	2333	10	61	5026616
public_412588	2217	10	432	5321288
public_412690	2345	9	107	5095219
public_412861	2391	10	191	5081392
public_413394	2389	9	270	5498502
public_413406	2332	10	1	4558947
public_413422	2208	10	190	5359418
public_413462	2201	10	172	5132510
public_413553	2352	9	130	5104704
public_414261	2287	10	42	5368812
public_414408	2111	10	178	5066961
public_41451	2351	9	105	4929218
public_415294	2391	10	43	5213940
public_415545	2338	10	56	5215872
public_415560	2401	10	398	4730730
public_415618	2391	9	194	5333053
public_415741	2180	10	42	4753012
public_416003	2226	10	41	4973995
public_416094	2400	10	227	5280267
public_416133	2105	8	234	5387428
public_416529	2380	9	41	5115371
public_416712	2381	10	230	5352989
public_416863	2399	10	22	5219195
public_416884	2402	10	68	5187380
public_417064	2342	10	396	5015097
public_417226	2211	10	486	5486058
public_417364	2410	10	203	5316584
public_417557	2403	10	94	4833169
public_41757	2407	10	558	5379516
public_417670	2377	10	155	4914937
public_417673	2408	10	1173	4654138
public_417819	2226	10	243	4442454
public_417857	2211	10	82	4808501
public_417903	2390	10	433	5302194
public_417973	2406	10	18	5398212
public_418002	2353	10	901	5173825
public_418204	2382	10	103	5159098
public_418432	2385	10	31	4841853
public_41847	2411	10	13	5261066
public_418529	2350	8	93	5527710
public_419022	2403	10	489	5065931
public_419144	2407	10	332	5712627
public_419305	2413	10	37	5124680
public_419310	2405	10	160	5310824
public_41936	2372	10	345	5499478
public_419446	2214	10	117	5265476
public_419649	2315	9	30	5343200
public_419819	2332	10	203	5060683
public_419914	2391	10	3	5069678
public_420055	2406	10	430	5373810
public_420218	2391	10	61	5389702
public_42028	2412	10	76	5178701
public_420397	2334	10	485	5572799
public_420431	2232	10	50	5213549
public_420498	2207	10	135	4836061
public_420594	55	0	540	5352539
public_420693	2211	10	495	5161016
public_420806	2393	10	101	5654850
public_420865	2393	9	33	5191837
public_420899	2406	10	42	5055910
public_421062	2210	10	122	5094139
public_421107	2208	10	427	5341788
public_421157	2378	10	900	4979444
public_421199	2228	10	1	4643538
public_421227	2353	9	180	5149783
public_42148	2218	10	8	4643920
public_421950	2344	10	438	5052534
public_42208	2352	10	298	5366906
public_422120	2319	10	216	4906646
public_4223	2338	9	5	5325888
public_422531	2358	9	180	5007529
public_422575	2354	9	627	5067802
public_422825	2376	10	51	5150212
public_422962	2391	10	16	5051154
public_423309	2368	10	257	5177956
public_423596	2394	10	46	5196750
public_423943	2323	10	24	4911586
public_424377	2379	9	710	5253032
public_424575	2318	9	271	4814637
public_424770	2392	10	174	5422993
public_424895	2214	10	152	5220947
public_42503	2390	9	209	5171154
public_425033	2392	10	137	5319764
public_425156	2386	10	87	5062140
public_425692	2401	10	208	5062980
public_425740	2229	9	122	4826400
public_42684	2299	9	145	5275184
public_42908	2385	9	214	5548571
public_43340	2385	10	33	5227535
public_43343	2392	10	29	5063952
public_43392	2331	10	131	5182386
public_43543	2330	10	45	5264871
public_43839	2186	10	99	5272822
public_43896	2202	10	884	5172710
public_43940	2221	10	74	5301363
public_43998	2382	10	706	5249143
public_4412	2367	9	65	5343630
public_44194	2377	10	102	5203662
public_44310	2357	10	88	5403985
public_44436	2399	9	183	5105702
public_44468	2221	10	10	5541583
public_44504	2387	7	508	5369127
public_44668	2406	9	204	5275791
public_44703	2401	10	143	4925970
public_44757	2416	10	93	5028039
public_44760	2320	9	127	5146745
public_44936	2353	10	174	5541966
public_45155	2409	10	42	5009832
public_45185	2211	10	80	4904109
public_45301	2403	10	183	5198295
public_454	2379	8	43	4802443
public_45428	2170	8	107	5392801
public_45612	2395	10	223	4445874
public_46117	2412	10	125	5331782
public_46237	2396	10	1	4630707
public_46285	2409	10	37	5077115
public_46496	2347	9	58	5186175
public_46601	2382	9	94	5355826
public_46651	2320	3	96	4411216
public_46725	2245	9	198	5348274
public_47234	2405	10	60	5246096
public_47297	2390	10	123	5672270
public_47653	2403	10	1062	5141435
public_47821	2391	10	134	4707979
public_48011	2232	10	208	5335516
public_48017	2390	10	27	5025790
public_4829	2387	10	363	5071821
public_48412	2380	10	41	5328477
public_48503	2389	10	198	5405645
public_48534	2398	10	192	5166967
public_48736	2341	10	248	4900815
public_48750	2233	10	194	5343061
public_48825	2406	10	187	5138655
public_48859	2221	10	28	5061337
public_48910	2316	10	75	5388604
public_49069	2400	10	158	5226241
public_49112	2393	10	121	5256728
public_49115	2398	10	41	4911804
public_49411	2396	10	56	5269436
public_49454	2375	10	57	5406666
public_49653	2383	10	179	5016737
public_49734	2393	10	194	5175824
public_49816	2392	10	123	5282695
public_49957	2392	10	141	4832506
public_50055	2212	10	2	5452353
public_50101	2386	10	289	5122071
public_50580	2315	10	258	5048206
public_50647	1018	3	159	5293411
public_5331	2210	10	182	4896235
public_5382	2377	10	633	5514200
public_53985	2405	10	49	5378239
public_54018	2343	9	129	5083282
public_54138	2404	10	129	4669908
public_54156	2196	9	211	5354669
public_54670	2343	10	548	5266597
public_54738	2260	9	126	5244479
public_55300	2210	10	186	5296317
public_55340	2223	10	49	5107446
public_55382	2331	9	191	5570846
public_55420	2182	10	1744	5072899
public_5544	2213	10	24	5297794
public_55556	2392	10	606	5268786
public_55612	2393	10	34	5298178
public_56031	2385	10	42	5008353
public_56486	2185	10	117	4926400
public_5661	2400	10	66	5107348
public_56618	2323	9	133	5043320
public_56649	2389	10	45	5265684
public_57139	2379	10	108	4966979
public_57770	2382	10	100	5018608
public_57807	2316	10	147	4925881
public_57832	2371	9	111	5054520
public_57887	2389	10	110	5468749
public_58419	2348	10	112	4789679
public_586	2389	10	507	5087744
public_58683	2280	10	138	5121088
public_5871	2391	10	31	5191452
public_58768	2214	10	40	5270802
public_58805	2401	10	457	5374719
public_5881	2388	10	52	5165861
public_58849	2392	10	56	5302065
public_59307	2400	10	204	5117670
public_59769	2367	10	539	4859863
public_59985	2276	10	33	4983563
public_60429	2387	10	57	5522156
public_6066	2215	10	217	5157411
public_60910	2210	10	15	5509549
public_6092	2266	6	202	5048743
public_6095	2369	10	168	5337905
public_60980	2383	9	92	4925475
public_61473	2396	10	416	5383539
public_61612	2403	10	99	5064765
public_61786	2211	10	84	5502157
public_61809	2378	9	3	5516736
public_62181	2406	10	29	5036144
public_62274	2372	10	162	5396856
public_62409	2395	10	121	5310180
public_6252	2346	10	180	4815274
public_62532	2222	10	235	5266830
public_62618	2403	10	117	5070534
public_62719	2364	10	127	5223419
public_63018	2386	9	219	4447294
public_63171	2399	10	44	5225330
public_63212	2208	10	104	4943716
public_63254	2381	10	413	4673288
public_63741	2389	10	92	5314974
public_64228	2402	10	240	5350951
public_64364	2382	10	36	5106869
public_64803	2371	5	236	5291822
public_64835	2220	10	405	4989757
public_64863	2332	10	72	5250696
public_64974	2371	10	65	5021526
public_65219	2357	9	122	4814452
public_65358	2344	10	580	5441950
public_65361	2392	10	356	5455500
public_65448	2407	9	117	5218479
public_65477	2390	10	200	5143262
public_65516	2394	10	105	5287681
public_65644	2395	9	57	5569621
public_65904	2219	10	293	5465378
public_66018	2338	10	57	4928129
public_66047	2310	10	120	5096077
public_6612	2393	9	50	5422182
public_66125	2349	10	44	4851566
public_66305	2396	10	168	5258161
public_66457	2396	10	4	5437407
public_66466	2378	10	115	5106858
public_6651	2391	10	148	4944201
public_66972	2375	9	225	5100563
public_67	2362	10	119	5009224
public_67165	2395	10	596	5350644
public_67437	2355	9	158	5209659
public_67471	2334	10	301	5260670
public_67840	2353	10	790	5614799
public_68171	2264	8	84	5223504
public_68747	2342	10	38	4751069
public_68951	2374	10	130	5246553
public_69683	2217	9	183	5279594
public_69829	2334	10	216	5350628
public_69922	2391	9	72	4872465
public_70050	2240	9	633	5587405
public_70465	2385	10	46	5023319
public_7085	2325	9	470	5450672
public_71087	2356	9	420	5103313
public_71136	2391	9	196	5079764
public_7119	2380	10	94	4790982
public_71299	2215	10	249	5257610
public_71476	2305	10	41	5410388
public_71920	2357	9	117	4669550
public_72029	2386	7	161	5115449
public_72200	2212	10	245	4980900
public_72229	2362	10	43	5193545
public_72459	2377	10	415	4959704
public_72630	2386	10	470	4874586
public_72826	2210	10	545	5259799
public_72885	2394	10	2	4839683
public_72951	2099	6	217	5645469
public_73175	2374	10	115	5464504
public_73302	2222	10	127	5528238
public_73329	2401	10	34	5131596
public_73366	2399	10	27	5021144
public_73603	2307	10	32	5000065
public_73836	2383	10	128	4822200
public_73949	2401	10	283	5164248
public_7398	2114	9	54	5307568
public_73988	2341	9	32	5201291
public_74030	2391	10	94	5300328
public_74041	2384	10	50	5521156
public_74096	2391	10	32	5138895
public_74561	2187	10	61	5445263
public_74665	2163	9	89	4755075
public_74864	2198	9	162	5298396
public_74995	2382	10	90	4673719
public_75117	2374	10	6	5666764
public_7544	2393	10	73	5075262
public_75725	2209	10	186	5318847
public_75758	2331	9	33	5146837
public_76393	2355	10	2924	5637892
public_76536	2205	10	548	5590918
public_76604	2396	10	24	5079254
public_76653	2331	7	87	5498823
public_76853	2357	9	117	4627215
public_77011	2389	10	116	5298948
public_77265	2383	9	122	5220639
public_7735	2379	10	186	5620606
public_77350	2399	10	386	4976174
public_77445	2211	10	30	5404111
public_77479	2389	10	53	5146027
public_77598	2210	10	205	5091775
public_77647	2392	10	205	5064122
public_77860	2336	9	64	5361604
public_78047	2230	8	198	5063786
public_78152	2338	10	50	5392023
public_78181	682	4	357	5298230
public_7885	2395	10	81	5277068
public_80775	2208	10	412	5378508
public_80778	2220	10	113	5434788
public_80809	2335	10	137	4945140
public_80847	2335	9	322	5388828
public_8086	2350	10	129	5176612
public_8151	2386	10	126	5197897
public_81694	2223	10	169	5269023
public_81734	2390	10	499	5141142
public_8206	2382	10	54	5264605
public_82163	2368	10	126	4705777
public_82758	2349	9	71	5565561
public_8313	2360	10	176	5354647
public_83482	2210	9	227	5732927
public_83704	2333	10	513	5363881
public_84011	2210	10	114	5189038
public_84084	2406	10	124	5279963
public_84337	2401	10	1	4570938
public_8443	2221	10	133	4953256
public_84487	2196	10	194	5218879
public_84517	2401	10	41	5150014
public_84674	2387	10	456	5415441
public_85151	2216	10	172	5236669
public_85210	2405	10	110	5227067
public_85223	2317	10	35	5420935
public_8534	2386	10	44	5174870
public_85593	2384	10	25	5389145
public_85755	2383	10	124	5331786
public_85829	2329	10	102	4956415
public_85846	2380	10	159	5187872
public_85982	2391	10	355	5118952
public_86261	2321	9	56	5304883
public_86446	2406	10	46	5330588
public_86675	2195	10	169	5214871
public_86700	2212	10	126	5361077
public_86821	2399	10	132	4945606
public_87089	2367	10	1	4835601
public_87848	2406	10	35	5154433
public_87975	2400	10	106	4931668
public_88012	2339	10	124	5060278
public_88030	2392	10	43	5173892
public_88274	2388	9	41	5231790
public_88447	2207	10	39	5133011
public_88476	2173	10	58	5385681
public_88767	2378	10	480	5425938
public_89288	2389	10	14	5508202
public_89565	2317	10	37	4971098
public_89635	2392	10	110	4987997
public_89827	2132	10	24	5040636
public_9006	2304	8	396	4994869
public_90225	2374	10	37	4780531
public_90590	2388	9	39	5269271
public_90613	2393	10	542	5338153
public_90811	2259	9	194	5133805
public_91253	2397	10	402	5152947
public_91498	2388	9	54	4979690
public_91709	2399	10	250	5475690
public_91896	2224	10	59	5032547
public_91969	27	0	31	5083292
public_93157	2387	9	32	5258990
public_93612	2377	10	16	5265760
public_93658	2350	8	108	5163027
public_93970	2398	10	284	4909364
public_94060	2389	8	110	5252407
public_94250	2342	9	77	5117675
public_94415	1525	5	504	5279051
public_9478	2211	10	183	4839164
public_9541	2408	10	76	5149389
public_9630	2359	10	33	5037301
public_96425	2336	9	186	5166853
public_96610	2331	10	696	5303222
public_96613	2229	10	34	5071451
public_96699	2389	10	722	5233946
public_97170	2396	10	16	5486042
public_97378	2363	10	140	5264612
public_97490	2338	10	121	5222474
public_97594	2313	10	45	5328527
public_97625	2333	10	191	5294360
public_97645	2189	10	190	5022210
public_97680	2203	9	123	4393089
public_97788	2212	10	378	5334506
public_97837	2362	10	479	5310324
public_97841	2290	10	483	5607875
public_97945	2379	10	90	5082652
public_98132	2391	10	17	5275844
public_98136	2212	10	46	5125451
public_98192	2359	10	367	4950226
public_9831	2211	10	182	5260294
public_98370	2208	10	53	5484689
public_98418	2291	9	27	4935378
public_98507	2384	10	28	4907252
public_9875	2205	10	52	5347900
public_98814	2394	10	198	4929288
public_98867	2387	10	37	5217691
public_98921	2373	10	91	5764314
public_99055	2220	10	115	5353649
public_99095	2214	10	542	5460136
public_9910	2383	10	137	5376211
public_99284	2348	10	263	5168083
public_99440	2392	10	260	5099949
public_99636	2281	10	6	5766081
public_9972	2214	10	189	5260643
public_99721	2215	10	241	5246595
public_99754	2369	10	557	5253065
public_99973	2402	10	193	5192502
